mode,scenario,seed,policy,gain_fee_pips,mean_applied_fee_pips,lp_fee_revenue_quote_wad,lp_net_pnl_quote_wad,realized_adverse_markout_quote_wad,false_positive_rate_wad,false_negative_rate_wad,requested_notional_quote_wad,executed_notional_quote_wad,volume_lost_quote_wad,volume_retained_rate_wad,benign_volume_retained_rate_wad,toxic_volume_retained_rate_wad,retained_event_count,coverage_eligible_epochs,coverage_deficit_epochs,latest_coverage_ratio_wad
inelastic,oversized_observation,101,coverage_thetashield,450000,500,2937000000000000000,-792072811755054463576,28178928712649406300,0,1000000000000000000,5874000000000000000000,5874000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,15,6030014705882353544
inelastic,oversized_observation,211,thetashield,500000,500,2736500000000000000,-704881077083023720278,24053992080675738700,0,1000000000000000000,5473000000000000000000,5473000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,oversized_observation,211,coverage_thetashield,450000,500,2736500000000000000,-704881077083023720278,24053992080675738700,0,1000000000000000000,5473000000000000000000,5473000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,16,250235662148070932
inelastic,oversized_observation,307,thetashield,500000,500,2780500000000000000,-707248540121309983776,25605999687717426500,0,1000000000000000000,5561000000000000000000,5561000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,oversized_observation,307,coverage_thetashield,450000,500,2780500000000000000,-707248540121309983776,25605999687717426500,0,1000000000000000000,5561000000000000000000,5561000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,20,15,113625000000000011
inelastic,oversized_observation,401,thetashield,500000,500,2849000000000000000,-826098766449098849902,27745565392554965200,0,1000000000000000000,5698000000000000000000,5698000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,oversized_observation,401,coverage_thetashield,450000,500,2849000000000000000,-826098766449098849902,27745565392554965200,0,1000000000000000000,5698000000000000000000,5698000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,16,215986436704621588
inelastic,oversized_observation,503,thetashield,500000,500,2816500000000000000,-683491741273818832596,25629034357549119100,0,1000000000000000000,5633000000000000000000,5633000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,oversized_observation,503,coverage_thetashield,450000,500,2816500000000000000,-683491741273818832596,25629034357549119100,0,1000000000000000000,5633000000000000000000,5633000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,15,137348901098901112
inelastic,conflicting_references,101,thetashield,500000,500,1740000000000000000,-1239715105534918860601,12452760024527599000,0,1000000000000000000,3480000000000000000000,3480000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
